병원/약국명,병원/약국구분,소재지주소,경도,위도
i튼튼약국,약국,서울특별시 노원구 동일로 1059 (공릉동),127.0729873,37.62453111
the사랑약국,약국,서울특별시 노원구 한글비석로 331 중계주공3단지아파트단지내상가 101호 (중계동),127.0774454,37.65663032
가가호호조은약국,약국,서울특별시 송파구 토성로 16 (풍납동),127.1121294,37.53083354
가까운단골약국,약국,서울특별시 강동구 동남로 891 현대델리안오피스텔 102호 (명일동),127.1559459,37.55331511
가까운사랑약국,약국,서울특별시 강동구 양재대로 1576 삼익빌딩 1층 (명일동),127.1434528,37.54615951
가까운새서울약국,약국,"서울특별시 송파구 토성로 18 1층, 지층 (풍납동)",127.112283,37.53081485
가까운신촌약국,약국,서울특별시 서대문구 연세로 40 1~4층 (창천동),126.9371682,37.55914146
가까운약국,약국,"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",127.0553074,37.5654423
가까운약국,약국,서울특별시 강서구 공항대로 426 (화곡동),126.8542295,37.55483108
가까운약국,약국,서울특별시 성북구 보문로 44 (보문동7가),127.0227677,37.57954419
가까운약국,약국,서울특별시 영등포구 당산로 34 로데오 ？ 쇼핑몰 1층 (문래동3가),126.8964935,37.51746278
가까운약국,약국,서울특별시 서대문구 모래내로 364 (홍은동),126.936508,37.58187581
가까운약국,약국,"서울특별시 관악구 양녕로 46 112호 (봉천동, 메카플러스)",126.9472864,37.48614367
가까운온누리약국,약국,서울특별시 양천구 목동서로 349 센트럴프라자 106호 (신정동),126.8653073,37.51740747
가까운우리약국,약국,서울특별시 은평구 통일로 1031 1층 101호 (진관동),126.9166434,37.63463044
가까운우리약국,약국,서울특별시 용산구 대사관로31길 7-10 (한남동),127.0053901,37.53395677
가까운이화약국,약국,"서울특별시 송파구 강동대로 74 잠실올림픽아이파크상가 1층 108호, 지층 B103호 (풍납동)",127.1149327,37.52644184
가까운중앙약국,약국,서울특별시 강서구 마곡중앙4로 74 106~107호 (마곡동),126.834921,37.55788418
가까운천사약국,약국,서울특별시 강서구 공항대로36길 9 1층 (내발산동),126.8374664,37.55812157
가까운행복약국,약국,서울특별시 성북구 고려대로13길 8 1층 (안암동2가),127.0236772,37.58699632
가나안약국,약국,서울특별시 강남구 도산대로 113 1층 (신사동),127.0208549,37.51702099
가나안약국,약국,서울특별시 중랑구 봉우재로 39 (면목동),127.0775557,37.59071111
가나약국,약국,"서울특별시 은평구 서오릉로 46 201동  상가 104호 (녹번동, 녹번2차 현대아파트)",126.9245721,37.60503676
가든건강약국,약국,서울특별시 송파구 충민로 52 가든파이브웍스 S동 307호 (문정동),127.1227465,37.47771802
가든파이브약국,약국,"서울특별시 송파구 충민로 66 1층 F-1001호 (문정동, 가든파이브라이프 1층, F-1001호)",127.1249616,37.47761474
가디온누리약국,약국,서울특별시 금천구 가산디지털1로 171 가산 에스케이 브이원 센터 1층 117호 (가산동),126.8806786,37.48076227
가락약국,약국,서울특별시 송파구 송파대로 286 (가락동),127.1171649,37.49490601
가락온누리약국,약국,서울특별시 송파구 동남로 207 (가락동),127.1309033,37.4960685
가람약국,약국,서울특별시 양천구 공항대로 564 1층 5호 (목동),126.8678738,37.54909683
가람약국,약국,서울특별시 성북구 삼양로8길 3-28 (길음동),127.023492,37.60893094
가람약국,약국,"서울특별시 은평구 통일로 1030 은평헤스티아 1,2층 101, 201호호 (진관동)",126.9176952,37.63419173
가로수길약국,약국,서울특별시 강남구 압구정로 108 1층 7호 (신사동),127.0205988,37.52288669
가산소중한약국,약국,서울특별시 금천구 디지털로9길 68 대륭포스트타워 5차 1층 106호 (가산동),126.8864182,37.48107615
가산약국,약국,서울특별시 금천구 가산로 116 (가산동),126.893145,37.47610728
가야온누리약국,약국,"서울특별시 도봉구 노해로65길 17-9 102,103호 (창동, 삼원프라자)",127.0457491,37.65195068
가양메디칼약국,약국,서울특별시 강서구 양천로57길 13 (가양동),126.8520216,37.56359463
가양온누리약국,약국,서울특별시 강서구 허준로 198 가양프라자 1층 (가양동),126.8602547,37.56129262
가양종로약국,약국,서울특별시 강서구 양천로 460 (등촌동),126.8516985,37.56258336
가온약국,약국,서울특별시 서초구 강남대로 465 교보타워 B동 지상1층 (서초동),127.0241097,37.50375607
가온약국,약국,서울특별시 강남구 학동로 413 청담빌딩 2층 (청담동),127.0451743,37.51817281
가은약국,약국,서울특별시 관악구 봉천로 486 (봉천동),126.9537328,37.48161387
가장빠른천사약국,약국,서울특별시 송파구 강동대로 74 1층 103호 (풍납동),127.1149327,37.52644184
가장친절한정문앞중앙약국,약국,"서울특별시 송파구 강동대로 74 상가동 104,105,106,107,204호 (풍납동)",127.1149327,37.52644184
가장큰이대약국,약국,"서울특별시 강서구 공항대로 248 111~113, 206호 (마곡동)",126.8348945,37.55840572
가장큰태평양약국,약국,서울특별시 용산구 대사관로 52 1층 (한남동),127.0038897,37.53331503
가장큰현대아산약국,약국,서울특별시 송파구 강동대로 67 (풍납동),127.1150718,37.52703719
가장편한대영약국,약국,"서울특별시 송파구 강동대로 74 108동 101,102,지하102호 (풍납동)",127.1149327,37.52644184
가재울온누리약국,약국,"서울특별시 서대문구 거북골로 120 3동 3-1호 (남가좌동, 가재울센트레빌아파트상가)",126.9154159,37.57636185
가정약국,약국,서울특별시 용산구 청파로 333 (청파동1가),126.9696959,37.54932872
가정약국,약국,서울특별시 양천구 목동중앙본로 128-2 (목동),126.8720812,37.54668673
가족건강약국,약국,"서울특별시 동작구 등용로 115 101호 (대방동, 엘리시아빌딩)",126.9317517,37.51144313
가족사랑약국,약국,서울특별시 강북구 오패산로52길 39 (미아동),127.032067,37.62469032
가좌진약국,약국,서울특별시 서대문구 모래내로 137 1층 (남가좌동),126.9169298,37.56910676
가톨릭정문약국,약국,서울특별시 은평구 통일로 1031 1층 102호 (진관동),126.9166434,37.63463044
감람약국,약국,서울특별시 송파구 문정로13길 11-10 1층 (가락동),127.1349332,37.49410254
감마약국,약국,서울특별시 강남구 압구정로 336 101호 (신사동),127.0384775,37.52802235
감초당약국,약국,서울특별시 동대문구 약령중앙로 11 1층 (제기동),127.0367107,37.57931356
감초당약국,약국,서울특별시 송파구 백제고분로41길 11 (송파동),127.1079876,37.50706232
감초당온누리약국,약국,서울특별시 동대문구 한천로 242 1층 (전농동),127.0686072,37.58250244
감초약국,약국,서울특별시 강서구 강서로 38 (화곡동),126.8473181,37.5312476
강남굿모닝약국,약국,"서울특별시 강남구 남부순환로 2615 208호 (도곡동, 극동스타클래스상가)",127.0358836,37.48518534
강남리더스약국,약국,서울특별시 강남구 헌릉로 569 1층 105호 (세곡동),127.1012262,37.46575726
강남맑은약국,약국,"서울특별시 강남구 강남대로 292 3층 (도곡동, 뱅뱅빌딩)",127.0322012,37.48937782
강남메디칼약국,약국,"서울특별시 서초구 방배로 174 1층 (방배동, 태창빌딩)",126.9930602,37.48918147
강남메디칼약국,약국,서울특별시 강남구 삼성로 233 (대치동),127.0609007,37.49805541
강남미소약국,약국,서울특별시 강남구 논현로86길 22 1층 (역삼동),127.0393548,37.50003188
강남미약국,약국,서울특별시 강남구 강남대로 376 1층 1호 (역삼동),127.0287731,37.49656724
강남백세약국,약국,서울특별시 강남구 도곡로 448 1층 일부호 (대치동),127.0595478,37.49811013
강남보선약국,약국,"서울특별시 강남구 도곡로 516 107호 (대치동, 삼성상가)",127.0629885,37.49918201
강남봄약국,약국,"서울특별시 강남구 테헤란로4길 46 지하1층 140호 (역삼동, 쌍용플래티넘밸류)",127.0305033,37.49565248
강남사랑약국,약국,서울특별시 서초구 효령로 12 1층 (방배동),126.9867265,37.47686075
강남새천년온누리약국,약국,서울특별시 강남구 도곡로 523 1층 (대치동),127.0636714,37.50005552
강남세계로약국,약국,서울특별시 강남구 논현로 52 남현빌딩 1층 (개포동),127.0475801,37.47521089
강남소화약국,약국,서울특별시 강남구 봉은사로114길 42 (삼성동),127.0653272,37.51216796
강남약국,약국,"서울특별시 금천구 남부순환로 1372 (독산동, 현경빌딩)",126.9034724,37.47945775
강남약국,약국,서울특별시 강동구 양재대로 1355 (성내동),127.1356163,37.5273953
강남약국,약국,"서울특별시 서초구 강남대로 463 지하1층 102호 (서초동, 리젠타워)",127.0244482,37.5034498
강남역스타약국,약국,서울특별시 강남구 테헤란로4길 6 지하1층 b106호 (역삼동),127.0292866,37.49766777
강남온누리약국,약국,서울특별시 강남구 선릉로 406 102호 (대치동),127.0508326,37.50115429
강남우리온누리약국,약국,"서울특별시 강남구 테헤란로 403 101호 (삼성동, 리치타워)",127.04951,37.50508486
강남웰약국,약국,서울특별시 강남구 강남대로 432 점프밀라노 지하1층 101호 (역삼동),127.0266309,37.50123555
강남정성약국,약국,서울특별시 강남구 언주로 639 1층 (논현동),127.0349615,37.51361841
강남제일약국,약국,서울특별시 강남구 테헤란로 139 (역삼동),127.0343442,37.50040208
강남조은약국,약국,"서울특별시 강남구 남부순환로 2633 102호 (도곡동, 호림빌딩)",127.0377722,37.48536616
강남참약국,약국,서울특별시 강동구 구천면로 662 1층 (상일동),127.1714182,37.5507384
강남퍼스트약국,약국,"서울특별시 강남구 도산대로 104 1층 (논현동, 1st Avenue)",127.0203369,37.51607021
강남프라자약국,약국,서울특별시 강남구 학동로 323 (논현동),127.0383401,37.51657234
강남허브약국,약국,"서울특별시 강남구 학동로 342 109호 (논현동, SK허브빌딩)",127.0408412,37.5167556
