No,주소,경도,위도
99,서울특별시 강서구 강서로 388,126.8393078,37.56018695
100,"""서울특별시 강서구 양천로 559,""",126.8628104,37.5576752
101,서울특별시 강서구 강서로13길 3,126.846047,37.53229406
102,서울특별시 관악구 남부순환로 1908,126.9612054,37.47770365
103,서울특별시 관악구 관악로 158,126.952808,37.47931004
104,서울특별시 관악구 남부순환로 1419,126.9084171,37.48097319
105,서울특별시 관악구 남부순환로 1817,126.9521463,37.48164375
106,서울특별시 관악구 남부순환로 1948,126.9651316,37.4761881
107,서울특별시 관악구 남부순환로 2082-251522-3232,126.980999,37.4760417
108,"""서울특별시 관악구 보라매로3길 23,""",126.9255362,37.49104245
109,서울특별시 관악구 남부순환로 1619,126.9304963,37.48463754
110,서울특별시 관악구 신림로 355-1,126.9291724,37.48610036
111,"""서울특별시 관악구 신림로 330,""",126.9302351,37.48385209
112,서울특별시 관악구 남부순환로 1812,126.9513295,37.48111149
113,서울특별시 광진구 능동로 117,127.0711374,37.54160152
114,서울시 광진구 능동로243 1522-3232,127.076356,37.55194202
115,서울시 광진구 천호대로 676,127.0899305,37.55059168
116,서울특별시 광진구 광나루로 608,127.0952677,37.54115607
117,서울특별시 광진구 광나루로 519,127.0872121,37.54530478
118,서울특별시 광진구 아차산로 3551522-3232,126.925577,37.4911109
119,서울특별시 광진구 천호대로 548,127.0789368,37.55691888
120,"""서울특별시 광진구 아차산로 607,""",127.106048,37.54738032
121,서울특별시 광진구 아차산로 262,127.0729634,37.53700222
122,서울특별시 광진구 능동로 50,127.0691778,37.53567141
123,서울특별시 광진구 구의강변로 64,127.0931068,37.53599514
124,서울특별시 광진구 능동로 107,127.0707351,37.54069654
125,서울특별시 광진구 아차산로 373,127.0840327,37.53701135
126,서울특별시 광진구 아차산로 537-17,127.1002511,37.54315485
127,서울특별시 광진구 능동로 90,127.0709218,37.53836271
128,"""시흥대로73길 67 엠타워 112,113,114,115호1522-3232""",126.895748,37.4559437
129,서울특별시 금천구 가산디지털1로 171,126.8806786,37.48076227
130,서울특별시 금천구 시흥대로 426,126.8987725,37.47156959
131,서울특별시 금천구 시흥대로 164,126.9032312,37.44888351
132,서울특별시 금천구 벚꽃로 298,126.8838717,37.48144038
133,서울특별시 금천구 두산로 70,126.8956206,37.46896319
134,서울특별시 금천구 가산디지털1로 168,126.8826362,37.4799658
135,서울특별시 금천구 디지털로 188,126.8876759,37.47732744
136,서울특별시 금천구 벚꽃로 266,126.885081,37.47844625
137,서울특별시 금천구 가산디지털1로 128,126.8836949,37.47723689
138,"""서울특별시 금천구 디지털로9길 32,""",126.8875125,37.47951346
139,"""서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)1522-3232""",127.056627,37.63015598
140,서울시 노원구 마들로3길 15,127.0619799,37.62650977
141,서울 노원구 노원로 449,127.0664411,37.65666808
142,서울특별시 노원구 동일로 1015,127.0742179,37.62074884
143,서울특별시 노원구 노원로 569,127.0561502,37.66065319
144,서울특별시 노원구 동일로 1081,127.0722727,37.62638078
145,서울특별시 노원구 화랑로 621,127.0908356,37.62906275
146,"""서울특별시 노원구 중계로 217,""",127.0759923,37.65050277
147,"""서울특별시 노원구 노해로 502,""",127.0636921,37.65444967
148,서울특별시 노원구 석계로 104,127.0607288,37.62318818
149,"""서울특별시 노원구 동일로 1339,""",127.0621815,37.64816176
150,"""서울특별시 노원구 동일로 1413,""",127.0600192,37.65476844
151,서울특별시 노원구 마들로3길 15,127.0619799,37.62650977
152,서울특별시 도봉구 노해로65길 4,127.0472179,37.65194614
153,서울특별시 도봉구 도봉로 480,127.0348851,37.64835023
154,서울특별시 동작구 노량진로 190,126.9468617,37.51295594
155,서울특별시 동작구 사당로 219,126.9726616,37.48416175
156,서울특별시 동작구 보라매로5길 35,126.923506,37.4920917
157,서울특별시 동작구 사당로 300,126.9802822,37.4843803
158,서울특별시 동작구 노량진로 134,126.9408806,37.51336602
159,서울특별시 동작구 상도로 102,126.9317759,37.49994197
160,서울특별시 동작구 흑석로 27 395,126.953724,37.5051272
