No,연번,지방청,경찰서,관서명,구분,치안센터명,주소,경도,위도
59,59,서울청,서울동작,사당,지구대,사당5치안센터,서울 동작구 사당로 138,126.9656939,37.48894487
60,60,서울청,서울동작,신대방,지구대,신대방2치안센터,서울 동작구 여의대방로 24길 106,126.9259467,37.49919829
61,61,서울청,서울동작,대방,파출소,상도3치안센터,서울 동작구 상도로 87,126.9303837,37.49993418
62,62,서울청,서울광진,자양,파출소,자양2치안센터,서울 광진구 자양로3가길 28,127.0847353,37.52882501
63,63,서울청,서울광진,광나루,지구대,구의3치안센터,서울 광진구 광나루로56길 4,127.0978925,37.53917872
64,64,서울청,서울서부,신사,지구대,신사1치안센터,서울 은평구 은평로 28,126.9109859,37.59790558
65,65,서울청,서울서부,신사,지구대,증산치안센터,서울 은평구 증산서길 82,126.9068302,37.58358717
66,66,서울청,서울서부,신사,지구대,수색치안센터,서울 은평구 수색로 261,126.8949609,37.5819823
67,67,서울청,서울서부,응암3,파출소,응암4치안센터,서울 은평구 가좌로7라길 1,126.917352,37.58586138
68,68,서울청,서울강북,미아,지구대,동화치안센터,서울 강북구 솔매로49길 14,127.0269757,37.62709228
69,69,서울청,서울강북,미아,지구대,미아3치안센터,서울 강북구 삼양로54길 51,127.0210229,37.62360712
70,70,서울청,서울강북,솔샘,지구대,숭인치안센터,서울 강북구 도봉로39길,127.0298779,37.61251685
71,71,서울청,서울강북,수유2,파출소,우이치안센터,서울 강북구 삼양로672,127.0131808,37.66284175
72,72,서울청,서울강북,인수,파출소,수유6치안센터,서울 강북구 삼양로 457,127.0157764,37.64420048
73,73,서울청,서울금천,문성,지구대,독산3치안센터,서울 금천구 문성로 38,126.9078787,37.47655952
74,74,서울청,서울금천,문성,지구대,독산본치안센터,서울 금천구 시흥대로 148길 21-5,126.8999377,37.47533634
75,75,서울청,서울금천,백산,지구대,시흥4치안센터,서울 금천구 독산로50길 105,126.9101848,37.4623002
76,76,서울청,서울금천,백산,지구대,시흥5치안센터,서울 금천구 금하로24다길 7,126.909455,37.44860606
77,77,서울청,서울금천,금천,파출소,시흥본치안센터,서울 금천구 금하로 11길 40,126.9041035,37.45543738
78,78,서울청,서울금천,금천,파출소,시흥3치안센터,서울 금천구 시흥대로37길 18,126.9026502,37.44588355
79,79,서울청,서울금천,독산,파출소,신독산치안센터,서울 금천구 한내로 69-17,126.8877832,37.45794204
80,80,서울청,서울중랑,망우,지구대,망우치안센터,서울 중랑구 망우로 540,127.1122011,37.600133
81,81,서울청,서울중랑,망우,지구대,망우1치안센터,서울 중랑구 용마산로118길 103,127.106429,37.601244
82,82,서울청,서울중랑,망우,지구대,망우3치안센터,서울 중랑구 용마공원로5길 13,127.1017703,37.59469136
83,83,서울청,서울중랑,용마,지구대,면목4치안센터,서울 중랑구 답십리로 75길 61,127.0805782,37.57438604
84,84,서울청,서울중랑,용마,지구대,면목7치안센터,서울 중랑구 면목로 275,127.0857116,37.57737528
85,85,서울청,서울중랑,상봉,파출소,면목2치안센터,서울 중랑구 봉우재로6길 5,127.0762377,37.58967777
86,86,서울청,서울중랑,상봉,파출소,상봉2치안센터,서울 중랑구 봉우재로 93-5,127.0832621,37.59242367
87,87,서울청,서울중랑,면목본동,파출소,면목1치안센터,서울 중랑구 면목로66길 7,127.088636,37.58668742
88,88,서울청,서울중랑,면목삼팔,파출소,면목8치안센터,서울 중랑구 용마산로 370,127.094597,37.5847825
89,89,서울청,서울중랑,중화,지구대,중화1치안센터,서울 중랑구 동일로 792,127.0798148,37.60116018
90,90,서울청,서울강남,삼성1,파출소,코엑스치안센터,서울 영동대로 513,127.0591588,37.51182403
91,91,서울청,서울강남,청담,파출소,청담2치안센터,서울 강남구 삼성로 761,127.0478741,37.52272718
92,92,서울청,서울강남,압구정,파출소,압구정치안센터,서울 강남구 압구정로 33길 48,127.0306528,37.53061779
93,93,서울청,서울관악,당곡,지구대,보라매치안센터,서울 관악구 봉천로 279,126.9323044,37.48784831
94,94,서울청,서울관악,낙성대,지구대,행운치안센터,서울 관악구 남부순환로239길 8,126.9615385,37.47846339
95,95,서울청,서울관악,낙성대,지구대,인헌치안센터,서울 관악구 인헌6길 23,126.9653849,37.47397072
96,96,서울청,서울관악,신림,지구대,서원치안센터,서울 관악구 신원로 311,126.9296447,37.48180992
97,97,서울청,서울관악,신림,지구대,신원치안센터,서울 관악구 문성로27길 12-15,126.9269915,37.47980734
98,98,서울청,서울관악,신림,지구대,청룡2치안센터,서울 관악구 참숯1길 3,126.9421171,37.4791124
99,99,서울청,서울관악,관악산,지구대,대학동치안센터,서울 관악구 대학길 48,126.9375547,37.46856857
100,100,서울청,서울관악,관악산,지구대,삼성치안센터,서울 관악구 호암로 501,126.9316587,37.4624934
101,101,서울청,서울관악,구암,지구대,청림치안센터,서울 관악구 청림3마길 14-1,126.9580341,37.49104728
102,102,서울청,서울관악,난우,파출소,난곡치안센터,서울 관악구 난곡로 180-1,126.9200218,37.47126334
103,103,서울청,서울강서,화곡,지구대,화곡본동치안센터,서울 강서구 까치산로 51,126.8453835,37.54378597
104,104,서울청,서울강서,공항,지구대,개화2치안센터,서울 강서구 개화동로 275-1,126.7999456,37.5793141
105,105,서울청,서울강동,천호,지구대,천호2치안센터,서울 강동구 천호동 전중로 11-14,127.140498,37.5501503
106,106,서울청,서울강동,천호,지구대,천호3치안센터,서울 강동구 천호동 천호대로 159길7,127.1275888,37.53789468
107,107,서울청,서울강동,길동,지구대,길동2치안센터,서울 강동구 천호대로 197길 96,127.1477415,37.54020775
108,108,서울청,서울강동,암사,지구대,암사1치안센터,서울 강동구 올림픽로 98가길 57,127.1326363,37.55147372
110,110,서울청,서울강동,성내,지구대,성내2치안센터,서울 강동구 천호옛길 68-1,127.1245988,37.53498519
111,111,서울청,서울강동,강일,파출소,상일치안센터,서울 강동구 고덕로 360,127.1716389,37.55414163
112,112,서울청,서울강동,명일,파출소,명일1치안센터,서울 강동구 양재대로 138길37,127.1459836,37.54976244
113,113,서울청,서울종암,석관,파출소,석관1치안센터,서울 성북구 한천로76길11,127.0633049,37.61127975
114,114,서울청,서울종암,장위,지구대,장위1치안센터,서울 성북구 장위로 82,127.0457264,37.61378672
115,115,서울청,서울종암,장위,지구대,장위3치안센터,서울 성북구 한천로 701,127.0540358,37.6192783
117,117,서울청,서울종암,월곡,지구대,길음2치안센터,서울 성북구 삼양로2길 70,127.0272867,37.60681903
118,118,서울청,서울종암,종암,파출소,종암2치안센터,서울 성북구 종암로 88,127.0350949,37.59818363
119,119,서울청,서울구로,신구로,지구대,구로치안센터,서울 구로구 경인로 577-1,126.8809096,37.50407142
120,120,서울청,서울구로,신구로,지구대,신도림치안센터,서울 구로구 신도림로 40,126.8805912,37.5077743
121,121,서울청,서울구로,구일,지구대,구로1치안센터,서울 구로구 구일로 52,126.8751855,37.49117338
122,122,서울청,서울구로,구일,지구대,구로2치안센터,서울 구로구 구로동로 141,126.8833996,37.4913202
123,123,서울청,서울구로,고척,지구대,고척1치안센터,서울 구로구 중앙로 3,126.8643692,37.49859348
124,124,서울청,서울구로,고척,지구대,개봉1치안센터,서울 구로구 고척로27길 27,126.8469652,37.50315854
125,125,서울청,서울구로,개봉,지구대,개봉치안센터,서울 구로구 경인로 293,126.8529353,37.49799853
126,126,서울청,서울구로,개봉,지구대,개봉3치안센터,서울 구로구 개봉로 1가길 28,126.8538227,37.48584864
127,127,서울청,서울구로,오류,지구대,수궁치안센터,서울 구로구 부일로 1길 68,126.8189065,37.49349643
128,128,서울청,서울서초,반포,지구대,반포치안센터,서울 서초구 주흥15길 41,127.0172217,37.50791376
129,129,서울청,서울서초,반포,지구대,잠원치안센터,서울 서초구 나루터로 38,127.0139817,37.51496828
130,130,서울청,서울서초,서초3,파출소,방서치안센타,서울 서초구 명달로 55,127.0044608,37.48236932
131,131,서울청,서울서초,내곡,파출소,염곡치안센터,서울 서초구 염곡말길 9,127.050699,37.46182401
132,132,서울청,서울서초,우면,파출소,우면치안센터,서울 서초구 바우뫼로 45,127.027176,37.47186239
133,133,서울청,서울양천,목1,지구대,목6치안센터,서울 양천구 목동서로 11,126.8683636,37.54393268
134,134,서울청,서울양천,목2,지구대,목2치안센터,서울 양천구 목동중앙본로 27길 25,126.8683636,37.54393268
135,135,서울청,서울양천,목2,지구대,목4치안센터,서울 양천구목동중앙로23,126.8570365,37.51050464
136,136,서울청,서울양천,신정2,지구대,신정2치안센터,서울 양천구 목동동로 152,126.8840456,37.54339755
137,137,서울청,서울양천,신정2,지구대,신정5치안센터,서울 양천구 오목로 175,126.8569072,37.52533221
138,138,서울청,서울양천,신월2,지구대,신월2치안센터,서울 양천구 신월로 224-5,126.8470224,37.52151709
139,139,서울청,서울양천,신월2,지구대,신월4치안센터,서울 양천구 오목로5길 34,126.8400821,37.5246975
140,140,서울청,서울양천,신월5,파출소,신월3치안센터,서울 양천구 가로공원로 101,126.8272361,37.53592898
141,141,서울청,서울송파,방이,지구대,송파1치안센터,서울 송파구 백제고분로 392,127.1093064,37.50625438
142,142,서울청,서울송파,잠실,지구대,잠실본동치안센터,서울 송파구 백제고분로 15길 5,127.0846085,37.50602021
143,143,서울청,서울송파,잠실,지구대,잠실5치안센터,서울 송파구 잠실로 51-29,127.0941042,37.51330132
144,144,서울청,서울송파,삼전,지구대,석촌치안센터,서울 송파구 백제고분로 37길 20,127.1038844,37.50362905
145,145,서울청,서울송파,가락,지구대,가락2치안센터,서울 송파구 오금로 46길 55,127.1323773,37.49324174
146,146,서울청,서울송파,가락,지구대,문정2치안센터,서울 송파구 중대로 18,127.1111009,37.48994223
147,147,서울청,서울송파,문정,지구대,장지치안센터,서울 송파구 성남대로 1576,127.1274404,37.47055245
148,148,서울청,서울송파,마천,파출소,마천1치안센터,서울 송파구 성내천로 43가길 14-1,127.1549739,37.49644213
149,149,서울청,서울송파,풍납,파출소,풍납1치안센터,서울 송파구 풍성로 25길 17,127.1204613,37.5350868
150,150,서울청,서울송파,신천,파출소,월드치안센터,서울 송파구 송파대로 567 지하1층,127.0923634,37.51505063
151,151,서울청,서울노원,당현,지구대,하계1치안센터,서울 노원구 공릉로 290,127.072476,37.63330156
152,152,서울청,서울노원,당현,지구대,하계2치안센터,서울 노원구 공릉로55길96,127.0675467,37.63194177
